SE_ID,SC_GRAD_VLUE,NGST_QY
428,배추김치,15
429,사과,62
430,메론맛우유,180
431,짜장밥,145
432,달걀파국,0
433,김떡만강정,130
434,사과,62
435,메론맛우유,180
436,짜장밥,327
437,김떡만강정,143
438,사과,62
439,메론맛우유,180
440,짜장밥,291
441,김떡만강정,130
442,사과,62
443,메론맛우유,180
444,짜장밥,364
445,달걀파국,113
446,김떡만강정,130
447,사과,62
448,메론맛우유,180
449,짜장밥,72
450,김떡만강정,130
451,사과,62
452,메론맛우유,180
453,짜장밥,364
454,달걀파국,113
455,김떡만강정,91
456,사과,0
457,메론맛우유,180
458,짜장밥,364
459,달걀파국,227
460,김떡만강정,156
461,배추김치,39
462,사과,62
463,메론맛우유,180
464,짜장밥,145
465,김떡만강정,143
466,사과,0
467,메론맛우유,180
468,짜장밥,400
469,김떡만강정,156
470,배추김치,31
471,사과,56
472,메론맛우유,180
473,짜장밥,109
474,김떡만강정,156
475,배추김치,0
476,사과,0
477,메론맛우유,180
478,짜장밥,364
479,김떡만강정,130
480,사과,62
481,메론맛우유,180
482,짜장밥,255
483,김떡만강정,130
484,사과,62
485,메론맛우유,180
486,짜장밥,291
487,김떡만강정,143
488,배추김치,39
489,사과,62
490,메론맛우유,180
491,짜장밥,364
492,달걀파국,284
493,김떡만강정,143
494,사과,62
495,메론맛우유,180
496,짜장밥,364
497,달걀파국,170
498,김떡만강정,130
499,사과,62
500,메론맛우유,180
501,짜장밥,291
502,김떡만강정,130
503,사과,62
504,메론맛우유,180
505,짜장밥,364
506,김떡만강정,130
507,배추김치,71
508,사과,37
509,메론맛우유,180
510,짜장밥,400
511,달걀파국,170
512,김떡만강정,143
513,배추김치,39
514,사과,44
515,메론맛우유,180
516,짜장밥,364
517,김떡만강정,156
518,사과,62
519,메론맛우유,180
520,짜장밥,364
521,김떡만강정,130
522,배추김치,47
523,사과,62
524,메론맛우유,180
525,짜장밥,255
526,달걀파국,142
527,김떡만강정,156
528,사과,44
529,메론맛우유,180
530,짜장밥,291
531,김떡만강정,130
532,배추김치,23
533,사과,62
534,메론맛우유,180
535,짜장밥,364
536,김떡만강정,104
537,사과,62
538,메론맛우유,180
539,짜장밥,364
540,달걀파국,28
541,김떡만강정,156
542,배추김치,31
543,사과,62
544,메론맛우유,180
545,짜장밥,437
546,달걀파국,170
547,김떡만강정,130
548,배추김치,55
549,사과,62
550,메론맛우유,180
551,짜장밥,218
552,김떡만강정,143
553,사과,0
554,메론맛우유,180
555,짜장밥,327
556,김떡만강정,143
557,사과,0
558,메론맛우유,180
559,짜장밥,364
560,달걀파국,0
561,김떡만강정,130
562,사과,62
563,메론맛우유,180
564,짜장밥,364
565,김떡만강정,143
566,배추김치,23
567,사과,62
568,메론맛우유,180
569,짜장밥,327
570,달걀파국,85
571,김떡만강정,130
572,사과,62
573,메론맛우유,180
574,짜장밥,255
575,달걀파국,227
576,김떡만강정,143
577,사과,62
578,메론맛우유,180
579,짜장밥,218
580,김떡만강정,143
581,사과,62
582,메론맛우유,180
583,짜장밥,109
584,달걀파국,113
585,김떡만강정,130
586,사과,62
587,메론맛우유,180
588,짜장밥,364
589,김떡만강정,130
590,배추김치,15
591,사과,62
592,메론맛우유,180
593,짜장밥,182
594,김떡만강정,104
595,사과,25
596,메론맛우유,180
597,짜장밥,109
598,달걀파국,170
599,김떡만강정,130
600,배추김치,31
601,사과,62
602,짜장밥,182
603,김떡만강정,143
604,배추김치,31
605,사과,62
606,메론맛우유,180
607,짜장밥,291
608,달걀파국,0
609,김떡만강정,143
610,배추김치,47
611,사과,62
612,메론맛우유,180
613,짜장밥,291
614,김떡만강정,130
615,사과,0
616,메론맛우유,180
617,짜장밥,327
618,김떡만강정,143
619,사과,0
620,메론맛우유,180
621,짜장밥,364
622,김떡만강정,91
623,사과,62
624,메론맛우유,180
625,짜장밥,145
626,김떡만강정,156
627,사과,62
628,메론맛우유,180
629,짜장밥,145
630,김떡만강정,143
631,배추김치,15
632,사과,62
633,메론맛우유,180
634,짜장밥,364
635,김떡만강정,156
636,사과,62
637,메론맛우유,180
638,짜장밥,364
639,달걀파국,0
640,김떡만강정,130
641,배추김치,15
642,사과,62
643,메론맛우유,180
644,짜장밥,145
645,달걀파국,199
646,김떡만강정,143
647,사과,0
648,메론맛우유,180
649,짜장밥,364
650,달걀파국,170
651,김떡만강정,78
652,배추김치,63
653,사과,44
654,메론맛우유,180
655,짜장밥,218
656,김떡만강정,156
657,사과,37
658,메론맛우유,180
659,짜장밥,364
660,김떡만강정,130
661,배추김치,39
662,사과,0
663,메론맛우유,180
664,짜장밥,364
665,김떡만강정,130
666,사과,0
667,메론맛우유,180
668,짜장밥,364
669,김떡만강정,130
670,사과,62
671,메론맛우유,180
672,짜장밥,36
673,김떡만강정,117
674,사과,62
675,메론맛우유,180
676,짜장밥,327
677,김떡만강정,104
678,사과,0
679,메론맛우유,180
680,짜장밥,364
681,김떡만강정,156
682,사과,62
683,메론맛우유,180
684,짜장밥,255
685,김떡만강정,143
686,사과,0
687,메론맛우유,180
688,짜장밥,364
689,김떡만강정,143
690,배추김치,39
691,사과,62
692,메론맛우유,180
693,짜장밥,364
694,김떡만강정,156
695,사과,62
696,메론맛우유,180
697,짜장밥,218
698,김떡만강정,156
699,배추김치,35
700,사과,62
701,메론맛우유,180
702,짜장밥,255
703,달걀파국,170
704,김떡만강정,104
705,배추김치,39
706,메론맛우유,180
707,짜장밥,364
708,김떡만강정,143
709,배추김치,31
710,사과,62
711,메론맛우유,180
712,짜장밥,364
713,김떡만강정,130
714,배추김치,31
715,사과,62
716,메론맛우유,180
717,짜장밥,218
718,김떡만강정,156
719,배추김치,31
720,사과,62
721,메론맛우유,180
722,짜장밥,36
723,김떡만강정,130
724,사과,31
725,메론맛우유,180
726,짜장밥,364
727,김떡만강정,130
728,배추김치,23
729,사과,62
730,메론맛우유,180
731,짜장밥,364
732,김떡만강정,143
733,배추김치,23
734,사과,62
735,메론맛우유,180
736,짜장밥,255
737,김떡만강정,78
738,배추김치,39
739,사과,6
