FOOD_NM,INGREDIENTS,TYPE,Quantity
갈릭갈비떡볶음,파(대파)/일반,반찬,
더블치즈투움바스테이크,양파/일반,반찬,
애플망고주스,혼합주스(망고파인애플주스),후식,
연근유자청샐러드,유자청,후식,
단풍케이크,케이크(통밀케이크),후식,
삼치데리야끼구이,튀김가루,반찬,
소고기미역국,한우(양지)/국산,국,
콩나물국,파(대파)/일반,국,21796.0
명품떡갈비,양송이버섯/일반,반찬,
치코바치킨덮밥,굴소스/국산,밥,
연두부달걀국,간장(재래간장),국,
오오새우까스,콩기름(대두유),반찬,
노란키위,키위(골드참다래),후식,
순살닭갈비,당근,반찬,
감자밥,감자/껍질제거(깐것),밥,
두부미역된장국,팽이버섯,국,
유니짜장밥,후추,밥,
만두탕수,간장(양조간장),반찬,
세종케이크,찜케이크(우리밀찜케이크),후식,
버섯콩나물밥,참기름/국산,밥,
오이게맛살무침,설탕(백설탕),반찬,
불닭팽이버섯,불닭소스,반찬,
콩나물김치국,김치(배추김치)/숙성시킨것,국,
명엽채볶음,깨(참깨)/볶은것,반찬,
할로윈초코칩녹차라떼,고구마,후식,
할로윈오므라이스,콩기름(대두유),밥,
짜장치킨,"생강/국산, 껍질제거(깐것)",반찬,
치커리흑임자소스무침,설탕(백설탕),반찬,
감자메추리알조림,설탕(백설탕),반찬,
고등어고추장양념구이,설탕(백설탕),반찬,
순두부찌개,호박(애호박)/친환경,국,84117.0
검정쌀밥,멥쌀(백미)/친환경,밥,
김치,김치(배추김치),김치,
열무된장국,다시마/말린것(건조),국,41124.0
쁘링클치킨,콩기름(대두유),반찬,
멸치볶음,콩기름(대두유),반찬,
시금치나물무침,간장(양조간장)/국산,반찬,
통닭다리구이,소금(꽃소금),반찬,
감자된장국,양파/친환경,국,
도토리묵무침,마늘,반찬,
배,배,후식,61104.0
간장불고기덮밥,멥쌀(백미),밥,
양배추쌈,간장(양조간장),반찬,664.0
비엔나소시지야채볶음,소시지(비엔나소시지),반찬,
몬테크리스토샌드위치,양배추,반찬,
북어채달걀국,무(조선무)/친환경,국,
온두부찜,두부(검은깨두부),반찬,
곡밥,찹쌀(백미)/친환경,밥,
팽이버섯부추무침,간장(양조간장),반찬,
동초나물무침,간장(양조간장)/국산,반찬,
돼지갈비구이,파(대파)/친환경,반찬,
맑은콩나물국,다시마/말린것(건조),국,43110.0
톳밥,깨(참깨)/볶은것,밥,
멸치된장찌개,된장(전통된장)/전통식품인증,국,
숙주오이무침,소금(꽃소금),반찬,
골뱅이무침,양파/친환경,반찬,1573.0
가지애호박라자냐,토마토(대추방울토마토),반찬,
새우튀김우동,어묵(종합어묵),밥,
한샤인머스캣,포도(골덴마스컷),후식,
콩고기주먹밥,멥쌀(백미)/친환경,밥,
불고기마요네즈떡갈비,피망(청피망)/친환경,반찬,
멜론,멜론(머스크멜론)/GAP,후식,14150.0
브로콜리무침,브로콜리/친환경,반찬,
소고기낙지볶음,피망(청피망)/친환경,반찬,
토마토파인애플샐러드,과즙음료(레몬),후식,
단호박무침,소금(구운소금),반찬,
조개살미역국,간장(재래간장)/친환경,국,
삼색나물무침,소금(꽃소금),반찬,
닭볶음탕,"마늘/껍질제거(깐것), 꼭지제거",국,
오렌지,오렌지,후식,
캠핑모듬구이,돼지고기(삼겹살),반찬,
김치비빔국수,파(쪽파),밥,
돌산갓김치,김치(백김치),김치,
탕수만두,콩기름(대두유),반찬,
가을영양밥,팥(붉은팥),밥,
청국장찌개,청국장,국,36809.0
감자채피망볶음,참기름,반찬,
코다리살강정,깨(참깨)/볶은것,반찬,
모듬피클,피클(모둠피클),반찬,
반미샌드위치,당근/친환경,후식,
삼치살구이,배/친환경,반찬,
고로케,콩기름(대두유),후식,
