FOOD_NM,INGREDIENTS,TYPE
매생이떡국,"마늘/껍질제거(깐것), 꼭지제거",국
달걀날치알찜,양파,반찬
잔멸치아스파라가서볶음,아스파라거스,반찬
닭찜,당근,반찬
토마토새우달걀볶음,토마토,반찬
눈꽃치즈,치즈(눈꽃치즈),반찬
삼치간장조림,파(대파),반찬
새알들깨미역국,디포리,국
오징어튀김,"오징어/껍질있는것(안깐것), 링모양",반찬
가지양념구이,당근,반찬
연근들깨소스무침,"연근/껍질제거(깐것), 슬라이스",반찬
파프리카찹스테이크,파인애플,반찬
양배추찜*쌈장,양배추/친환경,반찬
옥수수버터구이,버터,후식
갈치구이,갈치,반찬
깍두기(제조),"마늘/껍질제거(깐것), 꼭지제거",김치
삼치오븐구이,삼치,반찬
깐쇼새우조랭이강정,"마늘/껍질제거(깐것), 꼭지제거",반찬
들깨단배추국,"마늘/껍질제거(깐것), 꼭지제거",국
떡갈비&베이비채소,양배추/친환경,반찬
순살고추장닭볶음탕,당근,반찬
갈비만두,만두(갈비만두),반찬
북어무국,마늘/친환경,국
돼지갈비단호박찜,당근,반찬
차돌된장찌개,"마늘/껍질제거(깐것), 꼭지제거",반찬
오리훈제&무쌈,양파,반찬
땅콩멸치볶음,"땅콩/볶은것, 껍질제거(깐것), 조각낸것",반찬
두부미소된장국,"마늘/껍질제거(깐것), 꼭지제거",국
닭살데리야끼소스오븐구이,당근,반찬
골뱅이수제비초무침,사과,반찬
조기구이,조기,반찬
야채소면무침,당근,반찬
돈육버섯불고기,배,반찬
김치숙주녹두전,마늘,반찬
고등어순살구이,고등어/순살,반찬
닭윙간장오븐구이,마늘,반찬
소면닭곰탕,마늘/친환경,반찬
볶은김치,양파,김치
모듬버섯오븐구이,양송이버섯,반찬
쌈채소&쌈장,당근,반찬
조랭이떡달걀국,"마늘/껍질제거(깐것), 꼭지제거",국
베이컨양송이토마토스파게티,양파,밥
새우부추전,당근,반찬
배추김치비빔국수,오이,밥
누룽지숭늉,누룽지,국
근대바지락된장국,"마늘/껍질제거(깐것), 꼭지제거",국
가자미오븐구이,가자미,반찬
펜네파스타샐러드,토마토(대추방울토마토),반찬
어묵우동한그릇,마늘,밥
