FOOD_NM,INGREDIENTS,TYPE
맑은우동국물,양파/껍질제거(깐것),국
자몽쥬스(테이크얼라이브),주스(자몽주스),후식
블루베리단호박범벅,블루베리,후식
베이비슈,슈(베이비슈),후식
새알미역국,마늘,국
고추장제육불고기,당근/국산,반찬
양배추쌈/쌈장,양배추,반찬
물만두국,당근/국산,국
시금치초고추장무침,마늘/다진것,반찬
허니버터인절미후라이,분말(허니버터맛분말),후식
블랙알리오치킨,마늘/다진것,반찬
감자양파국,마늘/다진것,국
해물부추전/양념장,양파/껍질제거(깐것),반찬
self)유부초밥,멥쌀(백미),밥
가래떡떡볶이&삶은계란,당근,반찬
오징어다리튀김,콩기름(대두유),반찬
불닭볶음면,양파,밥
튀김볼어묵국,무(조선무),국
보코치니토마토샐러드/발사믹D,토마토(대추방울토마토),후식
콘치즈구이,분말(파슬리분말),후식
소고기두부탕국,마늘/다진것,국
해물볶음우동,양파/국산,밥
직화떡불갈비/파채,파(대파),반찬
얼린망고팝,망고/냉동,후식
김치국,마늘/다진것,국
콩나물불고기,당근,반찬
상추&깻잎/쌈장,깻잎,반찬
눈꽃치즈꿀토마토,토마토,후식
락교무침,물엿,반찬
자두주스(쥬시쿨),"주스(자두주스, 플럼주스)",후식
나물비빔밥*두부고추장(계란후라,멥쌀(백미),밥
옥수수고로케/케찹,콩기름(대두유),후식
생키위주스,키위,후식
편스토랑궁중쫄면,당근,반찬
납작만두,콩기름(대두유),반찬
오렌지1/4,오렌지,반찬
짬뽕순두부찌개,당근,반찬
진미채고추장무침,백진미,반찬
참나물유자무침,양파,반찬
닭살야채오븐구이&샤워크림,당근,반찬
쌀국수국물,양파,밥
해물짜조/땅콩S,콩기름(대두유),후식
페페로니피자,설탕(백설탕),반찬
리코타치즈샐러드/발사믹D,호두,후식
우불고기우동,쑥갓,밥
감자전/양념장,설탕(백설탕),반찬
소고기뭇국,무(조선무),국
고추참치볶음,당근,반찬
불고기고로케/케찹,콩기름(대두유),반찬
조미김구이,김(구운김)/조미한것,반찬
오리엔탈파닭,고추(청양고추),반찬
파인애플주스,파인애플,후식
잔치국수/양념장,당근/국산,밥
부추양파무침,마늘/다진것,반찬
코코넛새우꼬치/양념치킨S,양념치킨소스,반찬
누네띠네,막대과자,반찬
닭갈비볶음밥,멥쌀(백미),밥
무채국,마늘/다진것,국
보코치니토마토샐러드/오리엔탈D,토마토(대추방울토마토),후식
맛쵸킹잡채말이강정,당근,반찬
생과일요거트샐러드,사과/일반,후식
레드오렌지주스(연세),주스(오렌지주스),후식
self)불고기타코,양파,반찬
북어회물냉면,오이,밥
고기만두찜/초간장,간장(양조간장),반찬
매운돈갈비찜,마늘/다진것,반찬
오징어브로콜리숙회/초고추장,브로콜리,반찬
야채튀김/양념장,설탕(백설탕),반찬
토마토리조또,멥쌀(백미),밥
봉골레파스타,올리브(블랙올리브),밥
니수아즈샐러드/비네크레트S,올리브(블랙올리브),반찬
산고추무침,삭힌고추,반찬
자몽허니블랙티,생수,후식
오므라이스/데미그라S,멥쌀(구분도미)/일반,밥
튀김볼우동국,양파,국
왕새우튀김/치폴레S,콩기름(대두유),반찬
머위대된장나물,마늘,반찬
한우찹스테이크(오),"마늘/껍질제거(깐것), 꼭지제거",반찬
순대국(초),"마늘/껍질제거(깐것), 꼭지제거",국
매콤코다리강정(초),"마늘/껍질제거(깐것), 꼭지제거",반찬
새송이미나리무침,"마늘/껍질제거(깐것), 꼭지제거",반찬
오므라이스(소스제외),멥쌀(백미),밥
야채떡쌈조림(오),"마늘/껍질제거(깐것), 꼭지제거",반찬
모듬부각(오),부각(감자부각),반찬
오므라이스소스,"사과(부사, 후지)",반찬
단호박카레라이스,멥쌀(백미),밥
숙주오이나물(탄4),마늘,반찬
사각피자,피자(페페로니피자)/냉동,반찬
청포도주스(완.초),주스(청포도주스),후식
차조현미밥,멥쌀(백미),밥
돈육불고기(초),배(신고)/GAP,반찬
오이소박이(초),김치(오이김치),김치
귀리찹쌀밥(탄4),귀리(쌀귀리)/친환경,밥
콩나물느타리버섯볶음(탄4),당근,반찬
갈비맛닭봉구이(탄4),마늘/친환경,반찬
콩나물잡채(초),당근/세척한것,반찬
생일케이크,케이크(쇼콜라케이크),후식
이면수구이(초),"생강/말린것(건조), 간것(가루, 분말), 껍질제거(깐것)",반찬
참외(탄4),참외,후식
스파게티(주식),당근,밥
케이준치킨샐러드(오),레몬,후식
마늘빵(초),마늘빵,후식
꼬마김말이강정(오),아몬드/슬라이스,반찬
삼치구이/고추냉이장,레몬,반찬
근대된장국(오),마늘/껍질제거(깐것),국
돼지고기고추장볶음,키위/일반,반찬
마늘쫑새우살볶음밥(탄5),멥쌀(백미),밥
맑은콩나물국(탄5),"마늘/껍질제거(깐것), 꼭지제거",국
배추김치(탄5),김치(배추김치),김치
