FOOD_NM,INGREDIENTS,TYPE,Quantity
삼색햄달걀말이,"달걀(전란), 햄(쵸핑햄), 당근/국산, 해바라기유, 우유, 간장(양조간장), 시금치, 표고버섯/친환경, 마늘/껍질제거(깐것), 꼭지제거",반찬,33953.2021569857
해물순두부찌개,"간장(재래간장), 소금(꽃소금), 고춧가루, 다시마(뿌리다시마)/말린것(건조), 달걀, 멸치(큰멸치, 대멸), 오징어/껍질있는것(안깐것), 채썬것(세절), 바지락살, 마늘/껍질제거(깐것), 꼭지제거, 양파/껍질제거(깐것), 팽이버섯, 고추(붉은고추(홍고추)), 두부(순두부), 고추씨기름, 유채씨유(카놀라유), 파(대파)/껍질제거(깐것), 새우살(백새우), 호박(애호박)",국,37867.0173794905
코다리떡강정,"깨(참깨)/볶은것, 껍질제거(깐것), 코다리살/강정용, 깍둑썰기, 설탕(백설탕), 간장(양조간장), 생수, 배, 실고추, 유채씨유(카놀라유), 튀김가루, 전분(감자전분), 떡볶이떡(비엔나떡볶이떡), 양파/껍질제거(깐것)",반찬,16576.12425801899
베이컨감자채볶음,"깨(참깨)/볶은것, 껍질제거(깐것), 유채씨유(카놀라유), 참기름/국산, 소금(꽃소금), 베이컨, 후추, 감자/껍질제거(깐것)",반찬,16576.12425801899
그린샐러드,멥쌀(백미),후식,77287.9905122814
꽃게오징어무국,기능성찹쌀(칼슘강화),국,37839.616750416026
닭다리오븐구이,"마늘/껍질제거(깐것), 꼭지제거",반찬,15226.237885697512
새송이버섯볶음,차조,반찬,16397.790179667103
깻잎절임,간장(양조간장)/국산,반찬,16556.958551636944
우유,우유,후식,27295.441232129302
북어포순두부찌개,김치(배추김치)/숙성시킨것,국,102454.49305242744
수수밥,멥쌀(백미)/친환경,밥,86871.10993897004
돼지고기숙주불고기,고추장,반찬,22665.312893535363
통곡물고구마맛탕,고구마/친환경,반찬,33165.73187218026
밀감푸딩,푸딩(밀감푸딩),후식,27295.441232129302
건새우마늘쫑볶음,파(대파)/친환경,반찬,41238.22680920702
시금치된장국,들깨가루,국,37599.81763583613
콩나물무침,"마늘/껍질제거(깐것), 꼭지제거",반찬,15226.237885697512
돼지고기김치볶음,"깨(참깨)/볶은것, 껍질제거(깐것)",반찬,16454.14944004748
반반핫도그,멥쌀(흑미),후식,38498.47642800554
두부강정,멥쌀(백미),반찬,69325.87516857017
오징어브로콜리초무침,기능성찹쌀(칼슘강화),반찬,16637.589294247005
무김치,"마늘/껍질제거(깐것), 꼭지제거",김치,30809.207088077244
병천순대국,기능성멥쌀(쌀눈),국,37599.81763583613
키위,키위/친환경,후식,66892.7927758024
콩나물밥,간장(양조간장)/국산,밥,56300.51158295167
돼지고기장조림,간장(양조간장)/국산,반찬,16556.958551636944
오이치커리무침,물엿,반찬,16397.790179667103
홍국쌀밥,찹쌀(백미)/친환경,밥,359403.67724052735
찜닭,당근/국산,반찬,26638.328257426758
갈치카레구이,"갈치/구이용, 내장제거, 비가식부위제거, 절단된것",반찬,16397.790179667103
부대찌개,두부/친환경,국,78648.47261098132
