FOOD_NM,INGREDIENT
찰보리밥,보리(찰보리)/친환경
유기농나물밥,멥쌀(백미)/친환경
김구이,김(구운김)/무염
달걀파국,다시마/말린것(건조)
과일푸딩,푸딩(사과푸딩)
쭈꾸미야채비빔밥,고춧가루
오이지무침,마늘
바베큐폭찹,피망(청피망)
발아현미밥,찹쌀(백미)
연어데리야끼조림,분말(카레분말)/순한맛
갓김치,김치(갓김치)
연근채강정,매실청
도토리묵채국,김치(맛김치)/숙성시킨것
과일채소주스,혼합음료(사과당근채소음료)
콩가루배추국,된장
사과,설탕(백설탕)
느타리버섯시금치무침,참기름
열무무침,된장
유부된장국,파(대파)
소시지페이스트리,치즈(노란체다치즈)
달걀야채볶음밥,콩기름(대두유)
우엉명엽채조림,우엉
시금치무침,깨(참깨)/볶은것
육개장,고사리/삶은것
치킨너겟,콩기름(대두유)
나물비빔밥,청주
교자만두찜,딤섬
짬뽕순두부,파(대파)
돼지고기간장불고기,굴소스
김치볶음,간장(양조간장)
카레소스,피망(청피망)
요구르트,발효유(액상요구르트)
찹쌀밥,멥쌀(백미)
골뱅이야채무침,당근
레몬파닭,설탕(백설탕)
스팸구이,돼지고기햄통조림/식품첨가물 미첨가
간장달걀밥,부추/국산
열무김치,김치(열무김치)
호두멸치볶음,콩기름(대두유)
카프리썬,혼합주스(오렌지망고주스)
두부조림,간장(양조간장)
설렁탕,파(대파)/껍질제거(깐것)
돼지고기메추리알장조림,설탕(흑설탕)
참나물무침,파(실파)
오리고추장불고기,간장(양조간장)
식혜,식혜/친환경
돼지고기바베큐구이,청주
우렁된장찌개,감자
상추쌈,물엿
콩나물파채무침,마늘/껍질제거(깐것)
연두부양념장,깨(참깨)/볶은것
오징어떡볶음,떡볶이떡/국산
과일샐러드,바나나
마라부대찌개,간장(재래간장)
옥수수치즈마요네즈떡갈비,떡갈비
버섯된장국,호박(애호박)
잡곡밥,멥쌀(백미)
햄에그까스,콩기름(대두유)
김부각,부각(미역부각)
사골우거지국,된장
치즈볼,치즈볼
깻잎나물,간장(재래간장)
치즈감자전스테이크,양파/일반
식물성유산균요구르트,발효유(액상요구르트)
순대국,간장(재래간장)
알타리김치,김치(총각김치)
달고나와플,시럽(초코시럽)
참치김치찌개,두부/찌개용
삼색묵무침,영양강화제(채소칼슘)
안동찜닭,당근/일반
배도라지,주스(배주스)
파김치,김치(포기김치)
만두전골,된장(양조된장(개량식))
건파래볶음,소금(꽃소금)
티라미슈무스케이크,케이크(티라미수케이크)
치즈연어구이,간장(양조간장)
닭곰탕,소금(굵은소금)
사과오이초무침,설탕(백설탕)
애플고르곤졸라피자,피자(조각피자)
사과주스,주스(사과주스)/가당
단무지무침,단무지(반달슬라이스단무지)/무색소
짜장면,마늘/일반
포기김치,김치(파김치)
흰밥,멥쌀(백미)
메이플피칸,파이(미니메이플피칸)
다시마무국,소금(굵은소금)
매운한돼지갈비찜,고추장
느타리버섯초무침,애느타리버섯/일반
불고기,파(대파)/채썬것(세절)
매실장아찌무침,설탕(백설탕)
강황밥,찹쌀(백미)/일반
깻잎김치,김치(깻잎김치)
우동국,간장(재래간장)
소프트햄버거,양상추/일반
김주먹밥,단무지(꼬들단무지)
자두쿨피스,두유(복숭아농축액두유)
건새우아욱된장국,파(대파)/일반
샤인머스캣청포도,포도(골덴마스컷)
순우리당면김말이구이,유채씨유(카놀라유)
기름떡볶이,고추장
꼬치어묵국,어묵(사각어묵꼬치)
꿀카롱오레오,마카롱(헤이즐넛마카롱)
닭살미역국,닭고기(성계)/껍질제거(깐것)
오이부추무침,소금(꽃소금)
