FOOD_NM,INGREDIENT,TYPE
달걀볶음밥,"깨(참깨)/볶은것,껍질제거(깐것)",밥
왜된장국,다시마/말린것(건조),국
돼지고기자장볶음,감자/껍질제거(깐것),반찬
초코칩트위스트,페이스트리(꽈배기페이스트리),후식
두부케찹조림,고추장(전통고추장)/국산,반찬
매운콩나물무침,고춧가루/국산,반찬
궁중떡볶음,간장(양조간장)/국산,반찬
크림슨포도,포도(크림슨),후식
주꾸미떡볶음,간장(양조간장)/국산,반찬
곤약채소초무침,고추장(전통고추장)/국산,반찬
스파게티,당근/세척한것,밥
과일쥬스,과채주스(사과농축과즙),후식
치킨케이준샐러드,감귤통조림,반찬
연근강정,고추장(전통고추장)/국산,후식
무조미김,김(구운김)/무염,반찬
곤드레밥(양념장),간장(양조간장)/국산,밥
바지락미역국,간장(재래간장)/국산,국
새우가스,새우가스,반찬
햄김치찌개&생면사리,"고추(풋고추(청고추,재래종))",국
닭날개간장구이,간장(양조간장)/국산,반찬
난/커리소스,또띠아,국
돼지고기김치찜,고춧가루/국산,반찬
츄러스떡말이구이,간장(양조간장)/국산,후식
시리얼요거트,꿀(잡화꿀),후식
완자전,고추(붉은고추(홍고추)),반찬
감자치즈튀김,감자/껍질제거(깐것),후식
산채비빔밥,간장(양조간장)/국산,밥
황태감자국,간장(재래간장)/국산,국
잔멸치크랜베리볶음,"깨(참깨)/볶은것,껍질제거(깐것)",반찬
블루베리요거트,꿀(잡화꿀),후식
한우우엉볶음밥,간장(양조간장)/국산,밥
새우튀김,콩기름(대두유),후식
하우스귤,감귤(밀감),후식
김치감자탕,감자/껍질제거(깐것),국
장어강정,간장(양조간장)/국산,반찬
허니버터연근칩,부각(연근부각),후식
혼합잡곡밥,멥쌀(백미)/친환경,밥
양파맛살전,달걀(전란),반찬
치즈돈가스+소스,돈가스(치즈돈가스),반찬
낙지떡볶음,고추(붉은고추(홍고추)),반찬
멘보샤,샌드위치(생선샌드위치),후식
김치찌개,고추(풋고추(청고추)),국
개성식사태찜,간장(양조간장)/국산,반찬
우엉진미채볶음,간장(양조간장)/국산,반찬
새우미역국,새우(꽃새우),국
깻잎생채,깻잎,반찬
오징어두루치기,느타리버섯,반찬
돈육카레전,달걀,반찬
팽이두부된장국,팽이버섯,국
부추겉절이,부추,김치
세발나물,갯나물(세발나물),반찬
계란만두,당근,반찬
새알팥죽,팥(붉은팥),국
갑오징어회,무(조선무),반찬
삼치데리야끼강정,삼치,반찬
새우애호박나물,당근,반찬
치커리무침,치커리,반찬
추어탕,무시래기/삶은것,국
쇠고기달걀장조림,달걀(전란)/껍질제거(깐것),반찬
올방개묵무침,파(쪽파)/껍질제거(깐것),반찬
건강멸치볶음,혼합멸치,반찬
야채계란찜,당근,반찬
